Unnamed: 0.1,Unnamed: 0,Wavelength (nm),Sum,Intensity,Bi III (3.3e-02),Denoised,Normalized
488,488,228.25,0.0001956,0.0001956,,-0.5890564395967848,0.004971933702407223
489,489,228.28,1.187e-05,1.187e-05,,-0.06471157931310043,0.0049719341387748795
490,490,228.3,1.698e-06,1.698e-06,,-0.0059580273597202955,0.004971934187670467
491,491,228.32,2.283e-07,2.283e-07,,-0.0012065318427039661,0.0049719341916247325
492,492,228.35,1.002e-08,1.002e-08,,-0.00024148002545454613,0.0049719341924278635
493,493,239.38,3.79e-08,3.79e-08,,-0.00016917074247086296,0.00497193419248804
494,494,239.4,2.645e-07,2.645e-07,,-0.0016921562082051333,0.004971934191220589
495,495,239.43,4.396e-06,4.396e-06,,-0.00740089570004664,0.00497193418646969
496,496,239.45,2.67e-05,2.67e-05,,-0.030618006169044372,0.004971934167148063
497,497,239.47,0.0001535,0.0001535,,-0.2650900157520288,0.00497193397201694
498,498,239.5,0.001906,0.001906,,-0.9552958630766922,0.004971933397617282
499,499,239.53,0.02088,0.02088,,-6.530550208993025,0.004971928757806998
500,500,239.55,0.09611,0.09611,,-38.71931454535209,0.004971901969834552
501,501,239.57,0.4185,0.4185,,-106.70816143519839,0.004971845388496478
502,502,239.6,3.426,3.426,,-269.09778569230826,0.0049717102454156625
503,503,239.62,12.99,12.99,,-1272.3823341631733,0.004970875296967232
504,504,239.65,86.34,86.34,,-5060.281721888125,0.004967722950286109
505,505,239.68,506.7,506.7,,-9765.472679393959,0.004963807219803137
506,506,239.7,1538.0,1538.0,,-15740.900727272747,0.004958834378962628
507,507,239.72,4416.0,4416.0,,-48281.83954778563,0.004931753321629403
508,508,239.75,19360.0,19360.0,,-123282.30717948735,0.004869336807614374
509,509,239.78,74920.0,74920.0,,-120896.62456876443,0.004871322208463324
510,510,239.8,172300.0,172300.0,,-151359.14965034887,0.004845970838215543
511,511,239.82,374800.0,374800.0,,215561.9953379985,0.005151328118133298
512,512,239.85,1084000.0,1084000.0,,1168889.613053621,0.005944701659539203
513,513,239.88,2765000.0,2765000.0,,2599206.8065268225,0.007135033079747878
514,514,239.9,4818000.0,4818000.0,,5218146.340326369,0.009314553838453397
515,515,239.93,9983000.0,9983000.0,,10004942.657342708,0.013298197525520963
516,516,239.95,15140000.0,15140000.0,,16812534.265734345,0.018963577361821797
517,517,239.97,21720000.0,21720000.0,,25215128.20512832,0.025956342059719584
518,518,240.0,33630000.0,33630000.0,,34509123.54312369,0.03369094437071118
519,519,240.03,45950000.0,45950000.0,,43849391.60839179,0.04146405553933437
520,520,240.05,52790000.0,52790000.0,,51548769.23076945,0.04787159307142053
521,521,240.07,57380000.0,57380000.0,,55929557.10955735,0.05151735044690737
522,522,240.1,58580000.0,58580000.0,,56168088.57808882,0.051715859912498045
523,523,240.12,55420000.0,55420000.0,,52317696.96969719,0.04851150626808229
524,524,240.15,45950000.0,45950000.0,,45303867.13286733,0.042674491884928195
525,525,240.18,33630000.0,33630000.0,,36488773.89277405,0.03533843908235191
526,526,240.2,25480000.0,25480000.0,,26966624.70862483,0.027413963718755166
527,527,240.22,18260000.0,18260000.0,,18145295.10489519,0.02007272092082814
528,528,240.25,9983000.0,9983000.0,,11046274.592074648,0.014164809579430625
